Section,Dataset,Description
Microscopic imaging, PanNuke,"2D Pathology, 7904 Cases, 6 Categories of Nuclear Segmentation"
Microscopic imaging, SICAPv2,"2D Pathological Imaging, 18783 Cases, 4 Categories of Prostate Cancer Grade"
Microscopic imaging, ANHIR,"2D Pathological Imaging, 481 Cases, Pathological Image Lung Lobes and Breast Tissue Registration"
Microscopic imaging, MitoEM2021,"3D Histopathology Imaging, 2 Cases, 1 Category of Mitochondria Segmentation"
Microscopic imaging, CoCaHis,"2D Pathological Imaging, 82 Cases, 2 Categories of Colon Cancer Tissue Segmentation"
Microscopic imaging, ARCH,"2D Pathological Imaging, 11816 Cases, Pathological Images and Corresponding Text Descriptions"
Microscopic imaging, Malaria Cell Images,"2D Microscopic Imaging, 27558 Cases, 2 Categories of Malaria Classification"
Microscopic imaging, SegPC21,"2D Microscopic Imaging, 498 Cases, 2 Categories of Myeloma Segmentation"
Microscopic imaging, MHIST,"2D Pathological Imaging, 3152 Cases, 2 Categories of Colon Polyps Classification"
Microscopic imaging, Bone Marrow Cytomorphology,"2D Pathological Imaging, 171,375 Cases, 21 Categories of Bone Marrow Cell Morphological Classification"
Microscopic imaging, Chaoyang,"2D Pathological Imaging, 6160 Cases, 4 Categories of Colonic Lesions Classification"
Microscopic imaging, CoNIC2022,"2D Pathological Imaging, 4981 Cases, 7 Categories of Nuclei within Tissues Segmentation"
Microscopic imaging, NeurIPS 2022 Cell Seg,"2D Microscopic Imaging, 3022 Cases, 1 Category of Cell Instance Segmentation"
Microscopic imaging, BRACS,"2D Pathological Imaging, 4539 ROIs/547 WSIs, 7 Categories of Breast Cancer Subtype Classification"
Microscopic imaging, BCI,"2D Pathological Imaging, 4870 Cases, 4 Categories to convert HE images to IHC images"
Microscopic imaging, MIDOG++,"2D Pathological Imaging, 22688 Cases, 2 Categories of Tumor Tissue Mitotic Classification"
Microscopic imaging, SegPANDA200,"2D Pathological Imaging, 100960 Cases, 6 Categories of Prostate Tissue Segmentation"
Microscopic imaging, MIST-HER2,"2D Pathological Imaging, 22688 Cases, 4 Categories of Critical Biomarkers in Breast Cancer Diagnosis Image Transformation"
Microscopic imaging, KPIs,"2D Pathological Imaging, 10428 Patches, 1 Category of Glomerular Tissue Segmentation"
Microscopic imaging, IU-Xray,"RG, 7,470 Frontal or Lateral Chest X-ray Images, with 3,955 Corresponding Reports"
Microscopic imaging, Linguistic Meaning,"Semantic Decoding, Functional Magnetic Resonance Imaging (fMRI), and Semantic Vector Representations"
Microscopic imaging, VQA-RAD,"VQA, 3515  Cases QA Pair"
Microscopic imaging, ImageClef-2019-VQA-Med,"VQA, 15292  Cases QA Pair"
Microscopic imaging, ZuCo 2.0,eeg-to-text
Microscopic imaging, PathVQA,"VQA, 32799 Cases QA Pair"
Microscopic imaging, MedICaT,"VQA, 217060 Cases QA Pair"
Microscopic imaging, SLAKE,"VQA, 14028  Cases QA Pair"
Microscopic imaging, Montgomery County CXR Set,"2D X-Ray, 138 Cases, 2 Categories of CXR Image Abnormality Diagnosis"
Microscopic imaging, MMMU Health&Medicine,"VQA, 1752 Cases QA Pair"
Microscopic imaging, PMC-OA,"VQA, 1.6M QA Pair"
Microscopic imaging, PMC-VQA,"VQA, 227K Cases"
Microscopic imaging, Quilt-1M,"Caption, 768826 Cases"
Microscopic imaging, ROCOV2,"Caption, 80080 Cases Image-Caption Pair"
Microscopic imaging, RP3D-Caption,"Caption, 69523 Cases Image-Caption Pair"
Microscopic imaging, PMC-Inline,"Caption, 11,000,000 Images"
Microscopic imaging, CT-RATE,"Caption, 47149 Cases"
Microscopic imaging, MedPromptX-VQA,"VQA, 968 Cases QA Pair"
Microscopic imaging, WSI-VQA,"VQA, 8672 Cases QA Pair"
Microscopic imaging, Medical-CXR-VQA,"2D X-Ray, 780014 Cases, LLMs specializing in chest X-ray images"
Microscopic imaging, LiveQA,"QA, 634 Cases QA Pair"
Microscopic imaging, cMedQA,"QA, 108K Cases QA Pair"
Microscopic imaging, webMedQA,"QA, 63,284 Cases QA Pair"
Microscopic imaging, PubMedQA,"QA, 1000 Cases Expert annotation QA Pair"
Microscopic imaging, MedDialog-CN,"QA, 1.1M Cases QA Pair"
Microscopic imaging, MedQA,"QA, 61,097 Cases QA Pair"
Microscopic imaging, Chinese Medical Dialogue Dataset,"QA, 792K Cases QA Pair"
Microscopic imaging, MedMCQA,"QA, 193,155 Cases QA Pair"
Microscopic imaging, Huatuo-26M,"QA, 26M Cases QA Pair"
Microscopic imaging, HealthSearchQA,"QA, 3173 Cases QA Pair"
Microscopic imaging, CMB,"QA, 270K Cases QA Pair"
Microscopic imaging,EB,"QA, 113K Cases QA Pair"
Microscopic imaging, CMExam,"QA, 68K Cases QA Pair"
Microscopic imaging, MedBench,"QA, 113K Cases QA Pair"
Microscopic imaging, RJUA-QA,"QA, 213 Cases QA Pair"
Microscopic imaging, ChineseEEG,"Semantic Decoding and Matching, 25 Phases and 115,233 Characters"
